Variable	Commentaire	Date de départ	Heure de départ	Valeur
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:07,403	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:07,403	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:18:07,403	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:07,403	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:18:07,681	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:18:08,691	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:18:08,691	FAUX
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:18:08,691	VRAI
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:18:08,815	FAUX
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:18:08,815	VRAI
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:18:08,815	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:18:08,815	VRAI
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:18:08,815	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:18:09,181	FAUX
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:18:10,504	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:10,504	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:10,504	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:10,504	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:18:10,504	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:10,504	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:10,626	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:10,905	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:18:11,031	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:11,031	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:11,031	FAUX
fermee	Pince fermée.	04/06/2021	17:18:11,157	FAUX
ouvert	Pince ouverte.	04/06/2021	17:18:11,157	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:18:11,157	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:11,157	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:11,157	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:11,157	VRAI
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:18:11,282	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:11,588	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:11,711	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:12,082	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:12,082	FAUX
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:18:12,082	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:12,082	FAUX
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:18:12,204	FAUX
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:18:12,327	VRAI
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:18:12,327	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:18:12,327	FAUX
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:18:12,327	VRAI
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:18:12,327	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:18:12,450	VRAI
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:18:12,603	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:18:13,193	FAUX
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:18:13,383	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:18:13,904	VRAI
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:18:13,904	FAUX
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:18:14,804	FAUX
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:18:14,994	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:18:14,994	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:18:16,508	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:18:23,180	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:23,671	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:23,671	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:23,671	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:18:23,671	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:23,788	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:23,788	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:24,189	VRAI
FERMER	Fermer la pince	04/06/2021	17:18:24,189	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:24,189	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:24,189	FAUX
fermee	Pince fermée.	04/06/2021	17:18:24,311	VRAI
ouvert	Pince ouverte.	04/06/2021	17:18:24,311	FAUX
FERMER	Fermer la pince	04/06/2021	17:18:24,311	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:24,311	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:24,311	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:24,311	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:24,797	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:24,923	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:18:25,045	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:25,291	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:25,413	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:25,413	FAUX
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:18:25,413	VRAI
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:18:25,535	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:18:26,303	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:26,303	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:26,303	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:18:26,303	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:26,303	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:26,428	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:26,428	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:26,799	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:18:26,799	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:26,799	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:26,799	FAUX
fermee	Pince fermée.	04/06/2021	17:18:26,920	FAUX
ouvert	Pince ouverte.	04/06/2021	17:18:27,042	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:18:27,042	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:27,042	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:27,042	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:27,042	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:27,505	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:27,627	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:27,997	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:27,997	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:18:27,997	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:27,997	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:18:28,181	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:18:29,104	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:18:29,104	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:18:29,104	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:18:29,198	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:18:29,994	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:29,994	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:29,994	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:18:29,994	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:29,994	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:30,116	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:30,240	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:30,487	VRAI
fermee	Pince fermée.	04/06/2021	17:18:30,608	VRAI
ouvert	Pince ouverte.	04/06/2021	17:18:30,608	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:30,608	VRAI
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:31,195	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:31,195	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:31,688	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:31,688	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:18:31,688	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:31,688	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:18:31,902	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:18:32,908	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:18:32,908	FAUX
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:18:32,908	VRAI
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:18:33,030	VRAI
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:18:33,030	VRAI
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:18:33,151	FAUX
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:18:33,151	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:18:33,151	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:18:33,399	FAUX
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:18:34,693	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:34,693	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:34,693	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:18:34,693	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:34,693	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:34,817	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:34,817	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:35,190	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:18:35,190	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:35,190	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:35,190	FAUX
fermee	Pince fermée.	04/06/2021	17:18:35,404	FAUX
ouvert	Pince ouverte.	04/06/2021	17:18:35,404	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:18:35,404	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:35,404	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:35,404	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:35,404	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:35,901	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:36,022	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:36,390	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:36,390	FAUX
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:18:36,390	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:36,390	FAUX
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:18:36,510	VRAI
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:18:36,510	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:18:39,304	VRAI
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:18:39,304	FAUX
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:18:39,425	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:18:40,196	FAUX
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:18:40,196	VRAI
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:18:40,320	VRAI
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:18:40,505	FAUX
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:18:41,810	VRAI
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:18:41,810	FAUX
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:18:43,182	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:18:43,182	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:18:44,990	FAUX
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:18:46,091	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:18:51,596	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:52,084	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:52,084	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:52,084	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:18:52,084	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:52,209	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:52,209	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:52,604	VRAI
FERMER	Fermer la pince	04/06/2021	17:18:52,604	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:52,604	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:52,604	FAUX
fermee	Pince fermée.	04/06/2021	17:18:52,726	VRAI
ouvert	Pince ouverte.	04/06/2021	17:18:52,726	FAUX
FERMER	Fermer la pince	04/06/2021	17:18:52,726	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:52,726	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:52,726	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:52,726	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:53,188	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:53,309	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:18:53,431	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:53,709	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:53,833	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:53,833	FAUX
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:18:53,833	VRAI
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:18:53,954	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:18:54,694	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:54,694	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:54,694	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:18:54,694	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:54,694	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:54,816	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:54,816	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:55,185	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:18:55,185	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:55,185	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:55,185	FAUX
fermee	Pince fermée.	04/06/2021	17:18:55,309	FAUX
ouvert	Pince ouverte.	04/06/2021	17:18:55,309	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:18:55,309	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:55,309	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:55,309	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:55,309	VRAI
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:55,891	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:55,891	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:56,388	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:56,388	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:18:56,388	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:56,388	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:18:56,599	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:18:57,482	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:18:57,482	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:18:57,482	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:18:57,694	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:18:58,495	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:58,495	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:58,495	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:18:58,495	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:58,495	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:18:58,617	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:58,617	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:58,895	VRAI
FERMER	Fermer la pince	04/06/2021	17:18:59,017	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:59,017	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:59,017	FAUX
fermee	Pince fermée.	04/06/2021	17:18:59,142	VRAI
ouvert	Pince ouverte.	04/06/2021	17:18:59,142	FAUX
FERMER	Fermer la pince	04/06/2021	17:18:59,142	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:59,142	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:18:59,142	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:18:59,142	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:18:59,602	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:18:59,726	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:19:00,098	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:00,098	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:19:00,098	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:00,098	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:19:00,402	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:19:01,410	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:19:01,410	FAUX
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:19:01,410	VRAI
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:19:01,531	FAUX
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:19:01,531	VRAI
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:19:01,531	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:19:01,531	VRAI
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:19:01,531	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:19:01,897	FAUX
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:19:03,185	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:19:03,185	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:03,185	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:19:03,185	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:03,185	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:19:03,306	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:03,306	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:19:03,588	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:19:03,683	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:19:03,683	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:03,683	FAUX
fermee	Pince fermée.	04/06/2021	17:19:03,803	FAUX
ouvert	Pince ouverte.	04/06/2021	17:19:03,803	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:19:03,803	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:19:03,803	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:03,803	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:03,803	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:19:04,299	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:19:04,426	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:19:04,798	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:04,798	FAUX
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:19:04,798	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:04,798	FAUX
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:19:04,921	FAUX
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:19:05,043	VRAI
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:19:07,500	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:19:07,500	VRAI
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:19:07,500	FAUX
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:19:07,619	VRAI
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:19:07,804	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:19:08,598	FAUX
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:19:08,789	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:19:09,094	VRAI
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:19:09,094	FAUX
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:19:11,584	FAUX
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:19:12,580	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:19:12,580	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:19:13,598	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:19:20,293	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:19:20,785	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:20,785	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:20,785	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:19:20,785	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:19:20,908	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:20,908	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:19:21,284	VRAI
FERMER	Fermer la pince	04/06/2021	17:19:21,284	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:19:21,284	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:21,284	FAUX
fermee	Pince fermée.	04/06/2021	17:19:21,405	VRAI
ouvert	Pince ouverte.	04/06/2021	17:19:21,405	FAUX
FERMER	Fermer la pince	04/06/2021	17:19:21,405	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:19:21,405	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:21,405	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:21,405	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:19:21,892	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:19:22,015	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:19:22,139	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:22,382	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:19:22,506	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:22,506	FAUX
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:19:22,506	VRAI
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:19:22,627	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:19:23,396	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:19:23,396	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:23,396	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:19:23,396	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:19:23,396	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:19:23,516	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:19:23,516	FAUX
