Variable	Commentaire	Date de départ	Heure de départ	Valeur
ouvert	Pince ouverte.	04/06/2021	17:05:13,013	FAUX
FERMER	Fermer la pince	04/06/2021	17:05:13,013	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:13,013	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:13,013	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:13,013	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:13,504	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:13,630	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:14,004	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:14,125	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:14,125	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:05:14,125	VRAI
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:05:14,309	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:05:15,299	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:05:15,299	FAUX
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:05:15,299	VRAI
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:05:15,423	FAUX
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:05:15,423	VRAI
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:05:15,423	VRAI
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:05:15,549	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:05:15,549	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:05:15,790	FAUX
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:05:17,099	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:17,099	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:17,099	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:05:17,099	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:17,099	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:17,221	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:17,221	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:17,591	VRAI
