Temps,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
[datetime.datetime(2021; 04; 16; 13; 43; 03; 000525)],0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1000100000010001,1001000000100,34833,4612,
[datetime.datetime(2021; 04; 16; 13; 43; 03; 000526)],0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,100000010001,1001000000100,2065,4612,
[datetime.datetime(2021; 04; 16; 13; 43; 03; 000527)],0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10000010001,1001000000100,1041,4612,
[datetime.datetime(2021; 04; 16; 13; 43; 04; 000528)],0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10000010001,1001000000100,1041,4612,
[datetime.datetime(2021; 04; 16; 13; 43; 04; 000529)],0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10000010001,1001000000100,1041,4612,
[datetime.datetime(2021; 04; 16; 13; 43; 04; 000530)],0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,100010000010001,1001000000100,17425,4612,
[datetime.datetime(2021; 04; 16; 13; 43; 04; 000531)],0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,100010000010001,1001000000100,17425,4612,
[datetime.datetime(2021; 04; 16; 13; 43; 04; 000532)],0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,100010000010001,1001000000100,17425,4612,
[datetime.datetime(2021; 04; 16; 13; 43; 04; 000533)],1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,111010000010001,100000000100,29713,2052,
[datetime.datetime(2021; 04; 16; 13; 43; 04; 000534)],1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11010000010001,100000000100,13329,2052,
[datetime.datetime(2021; 04; 16; 13; 43; 04; 000535)],1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11010000010001,100000000100,13329,2052,
[datetime.datetime(2021; 04; 16; 13; 43; 04; 000536)],1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11010000010001,100000000100,13329,2052,
[datetime.datetime(2021; 04; 16; 13; 43; 05; 000537)],1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11010000010001,100000000100,13329,2052,
[datetime.datetime(2021; 04; 16; 13; 43; 05; 000538)],1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1011010000010001,100010000100,46097,2180,
[datetime.datetime(2021; 04; 16; 13; 43; 05; 000539)],1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1011010000010001,100010000100,46097,2180,
[datetime.datetime(2021; 04; 16; 13; 43; 05; 000540)],1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1011010000010001,100010000100,46097,2180,
[datetime.datetime(2021; 04; 16; 13; 43; 05; 000541)],1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1011000000010001,100010000100,45073,2180,
[datetime.datetime(2021; 04; 16; 13; 43; 05; 000542)],1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1011000000010001,100010000100,45073,2180,
[datetime.datetime(2021; 04; 16; 13; 43; 05; 000543)],1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1011000000010001,100010000100,45073,2180,
[datetime.datetime(2021; 04; 16; 13; 43; 05; 000544)],1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1011000000010001,100010000100,45073,2180,
[datetime.datetime(2021; 04; 16; 13; 43; 05; 000545)],1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1011000000010001,100010000100,45073,2180,
[datetime.datetime(2021; 04; 16; 13; 43; 06; 000546)],1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,"1,011E+15",100010000010,45076,2178,
[datetime.datetime(2021; 04; 16; 13; 43; 06; 000547)],1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,"1,011E+15",100010000010,45076,2178,
[datetime.datetime(2021; 04; 16; 13; 43; 06; 000548)],1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"1,011E+15",100000000010,45076,2050,
[datetime.datetime(2021; 04; 16; 13; 43; 06; 000549)],1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"1,011E+15",100000000010,45076,2050,
[datetime.datetime(2021; 04; 16; 13; 43; 06; 000550)],1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"1,011E+15",100000000010,45076,2050,
[datetime.datetime(2021; 04; 16; 13; 43; 06; 000551)],1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"1,011E+15",100000000010,45076,2050,
[datetime.datetime(2021; 04; 16; 13; 43; 06; 000552)],1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"1,011E+15",100000000010,45076,2050,
[datetime.datetime(2021; 04; 16; 13; 43; 06; 000553)],1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"1,011E+15",100000000010,45076,2050,
[datetime.datetime(2021; 04; 16; 13; 43; 06; 000554)],1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"1,011E+15",100000000011,45078,2051,
[datetime.datetime(2021; 04; 16; 13; 43; 07; 000555)],1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"1,011E+15",100000000011,45078,2051,
[datetime.datetime(2021; 04; 16; 13; 43; 07; 000556)],1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"1,011E+15",100000000011,45078,2051,
[datetime.datetime(2021; 04; 16; 13; 43; 07; 000557)],1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"1,011E+15",100000000011,45078,2051,
