cas seul collage à 0 de P1S,-1,-1,1,1,-1,1,1,0,4,2000014,0,4,1,4,1,1,4,0,6,6
cas seul collage à 1 de P1VP4,-1,-1,1,1,-1,1,1,1,2,3,1,2,1,4,2000012,1,4,0,6,6
cas seul collage à 0 de P1VP4,-1,-1,1,1,-1,1,1,1,2,3,1,2,0,4,2000011,0,4,0,6,7
cas seul collage à 1 de P4E,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1
cas seul et NCT collage à 0 de A1B4,-1,-1,1,2,-1,1,2,0,4,1000011,0,4,1,4,1,1,4,0,6,1000008
cas seul collage à 0 de P1S,-1,-1,1,1,-1,1,1,0,4,1000013,0,4,1,4,1,1,4,0,6,1000008
cas seul collage à 1 de P1VP4,-1,-1,1,1,-1,1,1,1,2,2,1,2,1,4,1000012,1,4,0,6,1000008
cas seul collage à 0 de P1VP4,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,0,6,1000009
Normal,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000008,0,3,1,3,1,1,3,0,5,5
Normal,-1,-1,1,0,-1,1,0,1,2,1,1,2,0,3,1000010,0,3,1,3,1,1,3,0,5,1000006
Normal,-1,-1,1,0,-1,1,0,1,2,3,1,2,0,3,54000008,0,3,1,3,1,1,3,0,5,1000005
Normal,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000010,0,3,1,3,1,1,3,0,5,1000005
Normal,-1,-1,1,0,-1,-1,-1,1,7,-1,1,0,1,0,880,1,7,1,0,880,1,0,1,2,880,1,7,1,2,880,1,0,0,7,880,1,7,0,7,880
Normal,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1,1,4,0,6,1000006
Normal,-1,-1,1,1,-1,1,1,1,2,1,1,2,0,4,1000011,0,4,1,4,1000001,1,4,0,6,8
Normal,-1,-1,1,1,-1,1,1,1,2,3,1,2,0,4,1000011,0,4,1,4,1000001,1,4,0,6,6
Normal,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1,1,4,0,6,1000008
Normal,-1,-1,1,0,-1,1,0,1,7,3,1,7,0,3,1000007,0,3,1,3,1,1,3,0,5,5,0,5,0,7,1000003
Normal,-1,-1,1,0,-1,1,0,1,2,1,1,2,0,3,1000010,0,3,1,3,1000001,1,3,0,5,6
Normal,-1,-1,1,0,-1,1,0,1,2,3,1,2,1,8,1000009,1,8,0,5,1000005,0,5,0,8,5
Normal,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000010,0,3,1,3,1,1,3,1,9,1000007
Normal,-1,-1,1,1,-1,1,1,1,2,2,1,1,0,9,2,1,2,0,4,1000011,0,9,0,4,1000011,0,4,1,4,1,1,4,0,6,1000006
Normal,-1,-1,1,1,-1,1,1,1,2,1,1,2,0,4,1000011,0,4,1,4,1000001,1,4,1,10,1000011
Normal,-1,-1,1,1,-1,1,1,1,2,3,1,2,0,10,1000003,0,10,0,4,8,0,4,1,4,1,1,4,0,6,1000006
Normal,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1,1,4,1,11,1000010,1,11,0,11,2
Normal,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000008,0,3,1,3,1,1,3,0,5,5
Normal,-1,-1,1,0,-1,1,0,1,2,1,1,2,0,3,1000010,0,3,1,3,1000001,1,3,0,5,6
Normal,-1,-1,1,0,-1,1,0,1,2,3,1,2,0,3,1000008,0,3,1,3,1,1,3,0,5,1000005
Normal,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000010,0,3,1,3,1,1,3,0,5,1000005
Normal,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1,1,4,0,6,1000006
Normal,-1,-1,1,1,-1,1,1,1,2,1,1,2,0,4,2000011,0,4,1,4,1,1,4,0,6,1000008
Normal,-1,-1,1,1,-1,1,1,1,2,3,1,2,0,4,2000011,0,4,1,4,1,1,4,0,6,6
Normal,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1,1,4,0,6,1000008
